Rank,Major,Degree_Type,Early_Career_Pay,Mid_Career_Pay, High_Meaning
383,Biology & Chemistry,Bachelors,57300,97300,66%
386,Digital Media,Bachelors,53200,97200,38%
387,Professional & Technical Writing,Bachelors,57300,96900,47%
387,Public Relations & Communication,Bachelors,53200,96900,49%
389,Textile Design,Bachelors,58400,96800,36%
390,Finance & Marketing,Bachelors,69100,96700,42%
390,Law,Bachelors,61600,96700,52%
392,Nursing,Bachelors,75300,96600,82%
392,Organizational Communication,Bachelors,54100,96600,49%
394,Architectural Studies,Bachelors,52500,96500,38%
394,Global Business,Bachelors,65400,96500,31%
394,Hydrology,Bachelors,53000,96500,-
394,Literature,Bachelors,54800,96500,45%
394,Agriculture,Bachelors,55100,96500,61%
399,Physiology,Bachelors,57100,96300,66%
400,Music Technology,Bachelors,53000,96200,39%
400,Pre-Medicine,Bachelors,59100,96200,69%
400,Web & Digital Media Development,Bachelors,62700,96200,37%
403,General Business,Bachelors,58000,96100,51%
403,Public Relations (PR),Bachelors,53500,96100,43%
403,History & Political Science,Bachelors,58900,96100,48%
406,Administration of Justice,Bachelors,52800,96000,53%
406,Biology,Bachelors,55300,96000,66%
406,Web Design & Development,Bachelors,63000,96000,45%
409,Personnel Management,Bachelors,59600,95900,67%
410,Computer Animation,Bachelors,54800,95800,42%
410,Quality Management,Bachelors,73300,95800,64%
410,Retail & Consumer Science,Bachelors,61600,95800,26%
413,Environmental Management,Bachelors,59100,95700,63%
414,History,Bachelors,56200,95600,47%
415,Environmental Biology,Bachelors,52100,95500,68%
415,Media Studies,Bachelors,58800,95500,39%
417,Apparel & Textile Manufacture,Bachelors,55800,95400,33%
417,Philosophy & Religion,Bachelors,51200,95400,59%
419,Publishing,Bachelors,54000,95300,40%
420,Environmental Geography,Bachelors,58300,95200,52%
421,Communication Studies & Journalism,Bachelors,52700,95100,45%
422,Environmental Studies,Bachelors,57000,95000,59%
422,Health Management,Bachelors,52000,95000,-
424,Architectural Engineering Technology,Bachelors,55400,94900,50%
425,Agribusiness Management,Bachelors,60400,94700,40%
426,Interpersonal Communications,Bachelors,51500,94600,51%
426,Retail Merchandising,Bachelors,60900,94600,34%
428,Diagnostic Medical Sonography,Bachelors,74100,94400,85%
428,Fashion,Bachelors,56700,94400,39%
428,Network Administration,Bachelors,56000,94400,55%
428,General & Strategic Management,Bachelors,57300,94400,52%
432,Accounting & Business,Bachelors,61000,94300,49%
433,Dental Hygiene,Bachelors,83400,94000,80%
433,Electronic & Computer Technology,Bachelors,76400,94000,65%
435,Journalism & Electronic Media,Bachelors,53100,93900,45%
436,Geographic Information Systems (GIS),Bachelors,58000,93800,53%
436,Toxicology,Bachelors,54900,93800,-
438,Atmospheric Science,Bachelors,57300,93600,56%
439,Retailing,Bachelors,57300,93200,35%
439,Speech Communication,Bachelors,54500,93200,56%
439,Visual Effects & Motion Graphics,Bachelors,55900,93200,38%
442,Ancient History,Bachelors,53600,93100,-
443,Broadcast & Cinematic Arts,Bachelors,49400,93000,42%
443,Sports Management,Bachelors,53000,93000,43%
445,Bachelor of Science in Nursing,Bachelors,74300,92900,88%
445,Landscape Architecture,Bachelors,60600,92900,66%
447,Professional Studies,Bachelors,49900,92600,67%
448,Diagnostic Medical Ultrasound,Bachelors,78900,92500,71%
448,Entomology,Bachelors,51300,92500,-
448,Foreign Languages,Bachelors,56200,92500,55%
451,Forestry,Bachelors,54000,92200,68%
451,Workforce Education & Development,Bachelors,69100,92200,77%
453,Leadership,Bachelors,55600,92100,54%
453,Geography,Bachelors,58300,92100,52%
455,Global Studies,Bachelors,60400,92000,47%
455,Media Arts,Bachelors,52800,92000,33%
455,Business Leadership,Bachelors,57600,92000,42%
458,English Language,Bachelors,52800,91800,48%
459,Agricultural Business,Bachelors,61300,91700,59%
460,American Sign Language Interpreting,Bachelors,52700,91600,85%
460,Computer Aided Design (CAD),Bachelors,56400,91600,-
460,Digital Arts,Bachelors,52000,91600,36%
460,Human Resources Management (HRM),Bachelors,56100,91600,55%
460,Merchandising Management,Bachelors,55800,91600,48%
465,Music Performance,Bachelors,53400,91500,56%
466,Liberal Arts,Bachelors,54300,91400,52%
466,Public Administration,Bachelors,55000,91400,58%
466,Geosciences,Bachelors,57800,91400,62%
469,Retail Management,Bachelors,62300,91300,38%
470,Radio/Television & Film Production,Bachelors,52800,91200,41%
471,Fashion Merchandising,Bachelors,55200,91000,29%
471,Mass Communication,Bachelors,52400,91000,44%
471,Travel Industry Management,Bachelors,60600,91000,-
474,Allied Health,Bachelors,51300,90700,76%
474,Electronic Media,Bachelors,52200,90700,38%
474,Organizational Leadership & Supervision,Bachelors,56200,90700,51%
477,Homeland Security,Bachelors,57100,90500,72%
477,Arts Management,Bachelors,46400,90500,47%
477,Spanish Language,Bachelors,56300,90500,49%
480,3D Animation,Bachelors,58400,90400,43%
481,Business Management & Administration,Bachelors,60700,90300,52%
481,Marine Biology,Bachelors,49800,90300,63%
481,Nuclear Medicine Technology,Bachelors,70300,90300,80%
481,Religious Studies,Bachelors,53000,90300,54%
485,English Language & Literature,Bachelors,54200,90200,44%
486,Information & Communication Technology,Bachelors,55500,90100,54%
486,Museum Studies,Bachelors,44200,90100,36%
488,Business Technology,Bachelors,64400,90000,49%
488,Radiologic Science,Bachelors,66000,90000,81%
490,Organizational Leadership,Bachelors,58300,89900,58%
490,Animation,Bachelors,52400,89900,35%
492,Art History,Bachelors,55300,89800,44%
492,Management & Leadership,Bachelors,60900,89800,56%
492,Meteorology,Bachelors,54400,89800,53%
495,Film Production,Bachelors,51800,89600,38%
495,Musicology,Bachelors,49500,89600,-
495,Technical Writing,Bachelors,62400,89600,38%
498,Administrative Management,Bachelors,60900,89500,47%
498,Forestry Management,Bachelors,56100,89500,68%
500,Automotive Technology & Service Management,Bachelors,63200,89400,29%
501,Historic Preservation,Bachelors,48900,89200,-
502,Multimedia,Bachelors,52700,89000,44%
502,Fashion Marketing & Management,Bachelors,56500,89000,27%
504,Organizational Management,Bachelors,57200,88900,61%
505,Apparel Merchandising,Bachelors,56700,88800,35%
505,Earth Science,Bachelors,58700,88800,52%
505,Ethnic Studies,Bachelors,55900,88800,64%
508,German Language & Literature,Bachelors,59400,88600,44%
508,Radiology,Bachelors,63800,88600,82%
508,Zoology,Bachelors,48200,88600,67%
511,Human Nutrition,Bachelors,57700,88500,81%
512,Agricultural Communication,Bachelors,52400,88400,47%
512,Audio Engineering,Bachelors,55500,88400,40%
512,Geomatics,Bachelors,59400,88400,64%
515,Broadcast Journalism,Bachelors,51100,88300,52%
516,Cytotechnology,Bachelors,69100,88100,85%
516,Marketing & Advertising,Bachelors,57000,88100,46%
518,Applied Management,Bachelors,50600,88000,62%
518,Social Studies,Bachelors,56600,88000,53%
520,Communication Design,Bachelors,60600,87900,34%
520,Romance Languages,Bachelors,59100,87900,57%
522,Sociology & Anthropology,Bachelors,53300,87800,53%
523,Creative Writing,Bachelors,52800,87700,41%
523,Human Resources (HR),Bachelors,55500,87700,55%
525,Law Enforcement,Bachelors,55200,87400,64%
526,Criminal Justice Administration,Bachelors,53700,87300,61%
527,Marine Science,Bachelors,53600,87200,63%
527,Training and Development,Bachelors,61300,87200,-
529,Advertising & Graphic Design,Bachelors,55100,87100,39%
529,Technical & Scientific Communication,Bachelors,59200,87100,36%
531,Natural Resources,Bachelors,56000,86800,57%
532,Radiologic Technology,Bachelors,64000,86600,82%
533,Sports Administration,Bachelors,52500,86500,46%
534,Broadcast Communication,Bachelors,48700,86400,47%
535,Cultural Anthropology,Bachelors,56400,86300,49%
536,Human Resources Development,Bachelors,57000,86100,51%
537,Human Relations,Bachelors,53500,86000,59%
537,Merchandising,Bachelors,61000,86000,33%
537,Environmental Health Science,Bachelors,63000,86000,-
540,Communication Management,Bachelors,54400,85900,45%
540,Security Management,Bachelors,55500,85900,-
542,Administration,Bachelors,49700,85800,60%
